,Normal_right_eye_origin_in_Z_axis,Normal_right_eye_origin_in_X_axis,Normal_left_eye_origin_in_Z_axis,Gaze_origin_from_world_space_in_Y_axis,Normal_right_eye_origin_in_Y_axis,Normal_left_eye_origin_in_X_axis,Gaze_origin_from_world_space_in_X_axis,Normal_left_eye_origin_in_Y_axis,Gaze_origin_from_world_space_in_Z_axis,Gaze_origin_from_local_space_in_X_axis,Right_pupil_diameter,y
9213,-26.667,-31.09,-23.949,1.659,3.906,25.567,639.995,7.272,227.629,-0.006,1.959,2
13968,-28.681,-28.895,-28.501,6.441,1.629,34.105,-47.752,1.451,-9.038,0.001,4.119,1
7826,-19.756,-24.042,-24.377,3.879,9.192,32.383,-48.279,6.869,48.249,0.003,3.485,1
6829,-29.896,-32.628,-25.196,5.576,0.985,29.241,-74.034,0.243,82.623,-0.017,4.324,1
1191,-27.919,-29.104,-30.883,1.851,-0.072,36.019,17.435,-0.387,-16.392,0.008,4.021,0
2272,-47.716,-35.228,-39.134,3.326,7.411,29.404,-47.685,7.04,48.498,0.009,3.27,0
19733,-41.564,-31.983,-41.312,1.802,6.03,33.068,1.562,6.063,-16.021,0.012,3.157,0
19559,-39.082,-31.213,-39.883,1.844,6.96,34.032,0.168,7.054,-6.982,0.004,2.861,0
9161,-27.506,-30.047,-24.401,1.886,4.417,27.045,54.823,6.606,699.508,-0.001,2.622,2
11795,-27.825,-31.593,-26.286,2.441,0.17,30.941,-51.763,0.05,77.12,-0.004,4.618,1
14007,-38.921,-28.63,-43.835,9.567,6.572,36.053,-44.509,7.756,-41.381,0.006,2.576,0
1300,-27.058,-28.992,-29.826,1.848,-0.853,35.832,0.302,-1.417,-11.239,-0.008,4.367,0
11615,-29.333,-34.824,-29.032,1.658,-1.868,33.423,19.745,-3.611,-9.747,-0.023,5.534,0
20001,-25.453,-27.329,-27.769,3.772,-0.302,34.038,-47.884,-1.11,48.335,0.01,3.38,0
10703,-28.387,-32.665,-34.291,15.224,4.233,35.627,-0.008,2.877,43.55,0.004,4.666,2
9766,-28.403,-30.922,-25.346,2.543,-4.239,31.487,-60.423,-5.513,75.85,0.005,4.77,0
18656,-22.183,-27.413,-25.103,3.908,-3.304,35.711,-47.648,-4.238,48.31,-0.007,5.227,1
10815,-27.863,-32.793,-34.198,4.807,5.221,35.586,-0.005,4.026,1.248,0.007,4.342,3
10495,-25.534,-31.961,-32.261,3.917,8.287,36.598,-48.042,7.932,48.894,0.006,5.106,1
6051,-42.146,-33.096,-39.273,4.574,6.473,31.782,0.012,5.439,17.04,-0.002,0.717,1
9986,-27.228,-33.716,-34.279,1.886,2.94,34.43,44.985,4.76,-3.872,-0.034,2.064,0
3229,-27.207,-26.83,-29.322,2.602,-1.162,37.289,-61.253,-3.528,76.242,0.019,2.909,1
5835,-42.886,-32.516,-40.906,24.887,6.276,32.25,-52.364,6.036,189.051,-0.016,2.962,1
15502,-25.219,-28.33,-26.857,1.748,-1.086,34.032,6.427,-1.626,-18.89,-0.004,4.311,1
3928,-22.841,-28.641,-23.977,5.665,3.579,28.847,0.204,4.368,13.232,-0.002,3.208,3
13603,-19.611,-29.047,-21.609,2.198,0.039,30.927,-55.658,1.225,69.677,0.004,3.358,0
2400,-48.279,-34.152,-39.586,2.938,7.381,30.152,-42.547,6.765,43.65,0.01,2.44,0
8335,-27.361,-31.941,-26.361,3.965,-4.457,30.384,-48.123,-3.961,48.631,0.004,3.579,0
19969,-25.158,-26.793,-28.03,3.762,-1.551,33.98,-47.86,-2.18,48.328,0.005,3.35,0
19356,-31.242,-28.437,-33.008,2.937,-3.003,32.034,-38.259,-3.095,37.592,-0.003,2.598,0
13500,-26.167,-24.663,-33.505,1.904,-1.092,35.608,-38.029,0.981,59.665,0.004,2.635,0
7253,-27.325,-36.673,-21.093,2.377,3.529,27.515,-45.597,4.871,74.864,-0.008,4.074,1
7625,-21.015,-26.537,-22.243,3.857,8.71,30.399,-49.061,6.927,44.698,0.003,3.799,1
4454,-32.772,-30.73,-33.269,1.969,3.674,33.875,15.539,2.574,-10.165,0.008,3.329,1
9323,-27.129,-31.101,-25.352,1.921,2.22,25.869,340.267,4.94,603.608,-0.002,2.086,3
2011,-47.997,-34.3,-39.534,3.89,6.544,29.745,-48.892,6.15,45.509,0.009,2.835,0
14157,-19.227,-29.006,-21.596,1.786,2.354,31.112,-52.746,3.181,75.322,-0.004,4.052,0
13941,-38.054,-31.132,-43.457,27.87,5.723,34.012,-51.094,6.791,189.538,0,2.843,0
1339,-27.758,-30.076,-26.87,4.104,6.789,33.707,-48.005,2.603,48.617,-0.005,1.911,1
6257,-24.629,-30.634,-20.213,2.241,5.27,25.747,-48.34,8.813,70.732,-0.006,2.795,2
6997,-26.681,-38.283,-20.299,2.515,4.432,26.517,-60.154,6.249,76.303,-0.007,5.202,1
17236,-31.167,-29.882,-32.96,1.723,3.334,31.352,-4.056,4.384,-14.272,-0.017,3.423,0
8072,-28.701,-28.4,-30.763,16.815,1.229,36.338,-36.049,-0.164,94.411,-0.007,3.656,1
9921,-28.204,-32.088,-35.194,1.888,4.144,36.039,31.086,5.697,528.998,-0.032,2.697,0
18302,-28.654,-30.939,-30.058,10.203,-0.922,30.423,23.046,-0.691,81.612,-0.015,3.434,2
3149,-33.748,-31.907,-28.266,1.882,2.161,29.412,80.326,3.41,656.877,0,3.582,0
76,-42.14,-31.71,-40.52,1.825,7.791,32.268,-4.212,9.057,-15.156,-0.004,2.848,0
1491,-24.692,-27.576,-26.952,0.914,-1.744,29.794,-1.356,-3.851,-17.691,-0.019,3.136,0
3739,-22.09,-28.986,-23.189,12.259,4.464,28.346,-38.787,5.363,88.282,0,3.479,3
13764,-19.748,-28.687,-22.818,2.446,0.944,31.58,-60.806,2.838,76.471,-0.001,3.626,0
14046,-26.824,-33.118,-26.113,3.526,-1.62,29.587,-48.192,-0.893,46.918,-0.005,3.254,1
10413,-25.595,-30.861,-32.156,3.886,8.48,37.644,-48.321,7.931,47.639,0.02,5.504,1
